SongName,CatBoxLink,GroupName,AlbumName,ArtistId,SongId,Duration,releasedate,issolo,Gender
If you,https://files.catbox.moe/3hox1x.webm,Ailee,https://catbox.moe/c/hm9lch,13,1722,211.24,2016-08-22,y,female
Insane,https://files.catbox.moe/hqmyd7.webm,Ailee,https://catbox.moe/c/hm9lch,13,1996,219.36,2015-10-01,y,female
Is You,https://files.catbox.moe/737v0j.webm,Ailee,https://catbox.moe/c/hm9lch,13,3638,262.22,2018-12-22,y,female
Make Up Your Mind,https://files.catbox.moe/5k61yv.webm,Ailee,https://catbox.moe/c/hm9lch,13,12852,209.56,2021-05-07,y,female
Mind your own business,https://files.catbox.moe/k5ztvm.webm,Ailee,https://catbox.moe/c/hm9lch,13,1018,260.24,2015-09-29,y,female
Rewrite... If I can,https://files.catbox.moe/ju2h9d.webm,Ailee,https://catbox.moe/c/hm9lch,13,2432,249.7,2018-02-09,y,female
Room Shaker,https://files.catbox.moe/gnya7a.webm,Ailee,https://catbox.moe/c/hm9lch,13,4521,197.04,2019-07-02,y,female
Starting Now,https://files.catbox.moe/67wsaj.webm,Ailee,https://catbox.moe/c/hm9lch,13,14625,208.32,2021-06-11,y,female
The Poem of Destiny,https://files.catbox.moe/plcj6n.webm,Ailee,https://catbox.moe/c/hm9lch,13,4544,219.74,2019-07-06,y,female
U&I,https://files.catbox.moe/qveuyt.webm,Ailee,https://catbox.moe/c/hm9lch,13,14809,216.14,2013-07-12,y,female
When We Were In Love,https://files.catbox.moe/uu4wz8.webm,Ailee,https://catbox.moe/c/hm9lch,13,7577,667.6,2020-10-12,y,female
When your tears wet my eyes,https://files.catbox.moe/8lbh8s.webm,Ailee,https://catbox.moe/c/hm9lch,13,16842,232.56,2021-09-28,y,female
200%,https://files.catbox.moe/fzjw7j.webm,Akmu,https://catbox.moe/c/qloq1b,14,1583,210.22,2014-04-06,n,coed
Bench,https://files.catbox.moe/bkb86j.webm,Akmu,https://catbox.moe/c/qloq1b,14,15526,248.1,2021-08-01,n,coed
Dinosaur,https://files.catbox.moe/zeljti.webm,Akmu,https://catbox.moe/c/qloq1b,14,2216,283.4,2017-07-20,n,coed
Everest,https://files.catbox.moe/fkq62y.webm,Akmu,https://catbox.moe/c/qloq1b,14,15873,199.14,2021-08-07,n,coed
Give Love,https://files.catbox.moe/4hu13d.webm,Akmu,https://catbox.moe/c/qloq1b,14,1584,229.98,2014-05-01,n,coed
Happening,https://files.catbox.moe/trgfav.webm,Akmu,https://catbox.moe/c/qloq1b,14,7967,234.14,2020-11-16,n,coed
"Hey kid, Close your eyes",https://files.catbox.moe/volzbn.webm,Akmu,https://catbox.moe/c/qloq1b,14,15349,236.64,2021-07-21,n,coed
"How can I love the heartbreak, you're the one I love",https://files.catbox.moe/9ju22x.webm,Akmu,https://catbox.moe/c/qloq1b,14,4990,295.68,2019-09-25,n,coed
How people move,https://files.catbox.moe/ljhs4f.webm,Akmu,https://catbox.moe/c/qloq1b,14,1599,233.38,2016-05-03,n,coed
I love you,https://files.catbox.moe/u34g4b.webm,Akmu,https://catbox.moe/c/qloq1b,14,1587,186.58,2013-05-13,n,coed
Last Goodbye,https://files.catbox.moe/jfk018.webm,Akmu,https://catbox.moe/c/qloq1b,14,1931,287.74,2017-01-02,n,coed
Melted,https://files.catbox.moe/1otgi4.webm,Akmu,https://catbox.moe/c/qloq1b,14,1586,317.0,2014-04-14,n,coed
Nakka,https://files.catbox.moe/hi35eb.webm,Akmu,https://catbox.moe/c/qloq1b,14,15420,231.54,2021-07-26,n,coed
Next Episode,https://files.catbox.moe/2hfhm1.webm,Akmu,https://catbox.moe/c/qloq1b,14,15802,209.32,2021-08-05,n,coed
Play Ugly,https://files.catbox.moe/0k5cpt.webm,Akmu,https://catbox.moe/c/qloq1b,14,14309,210.7,2017-02-18,n,coed
Re-Bye,https://files.catbox.moe/w53zqt.webm,Akmu,https://catbox.moe/c/qloq1b,14,1600,220.2,2016-05-03,n,coed
Stupid love song,https://files.catbox.moe/80v0a0.webm,Akmu,https://catbox.moe/c/qloq1b,14,15442,207.7,2021-07-27,n,coed
Tictoc Tictoc Tictoc,https://files.catbox.moe/dl3tn2.webm,Akmu,https://catbox.moe/c/qloq1b,14,15468,251.72,2021-07-29,n,coed
Beautiful,https://files.catbox.moe/a5ggo9.webm,Amber,https://catbox.moe/c/xmuxa9,15,1500,185.28,2015-09-17,y,female
Borders,https://files.catbox.moe/3opu6r.webm,Amber,https://catbox.moe/c/xmuxa9,15,1555,236.46,2016-03-24,y,female
Closed Doors,https://files.catbox.moe/m09s8p.webm,Amber,https://catbox.moe/c/xmuxa9,15,2486,200.84,2018-04-15,y,female
Countdown,https://files.catbox.moe/c13jgt.webm,Amber,https://catbox.moe/c/xmuxa9,15,3444,229.38,2018-11-30,y,female
Curiosity,https://files.catbox.moe/tkau1a.webm,Amber,https://catbox.moe/c/xmuxa9,15,5301,261.78,2019-11-21,y,female
Lost at sea,https://files.catbox.moe/6sgh49.webm,Amber,https://catbox.moe/c/xmuxa9,15,3033,227.38,2018-10-19,y,female
Other People,https://files.catbox.moe/rpeoet.webm,Amber,https://catbox.moe/c/xmuxa9,15,5219,215.9,2019-11-06,y,female
Right Now,https://files.catbox.moe/u9oxoi.webm,Amber,https://catbox.moe/c/xmuxa9,15,2504,219.42000000000002,2018-04-24,y,female
Shake that brass,https://files.catbox.moe/jj97jo.webm,Amber,https://catbox.moe/c/xmuxa9,15,1489,217.7,2015-02-12,y,female
Stay calm,https://files.catbox.moe/364lsl.webm,Amber,https://catbox.moe/c/xmuxa9,15,5528,229.14,2020-01-09,y,female
Three Million Years,https://files.catbox.moe/boa1us.webm,Amber,https://catbox.moe/c/xmuxa9,15,2511,211.1,2018-04-27,y,female
White Noise,https://files.catbox.moe/ws0aul.webm,Amber,https://catbox.moe/c/xmuxa9,15,2978,222.76,2018-09-20,y,female
Bing Bing,https://files.catbox.moe/n6oy2z.webm,AOA,https://catbox.moe/c/lytnjf,16,1922,224.76,2017-01-01,n,female
Bingle Bangle,https://files.catbox.moe/o55mkf.webm,AOA,https://catbox.moe/c/lytnjf,16,2560,270.66,2018-05-28,n,female
Cherry Pop,https://files.catbox.moe/6ti54f.webm,AOA,https://catbox.moe/c/lytnjf,16,9012,196.07999999999998,2016-08-09,n,female
Come see me,https://files.catbox.moe/2fryjy.webm,AOA,https://catbox.moe/c/lytnjf,16,5315,206.66,2019-11-26,n,female
Confused,https://files.catbox.moe/3hvzff.webm,AOA,https://catbox.moe/c/lytnjf,16,605,244.2,2013-10-09,n,female
Elvis,https://files.catbox.moe/1al9ag.webm,AOA,https://catbox.moe/c/lytnjf,16,607,229.62,2012-07-29,n,female
Excuse Me,https://files.catbox.moe/g3vemi.webm,AOA,https://catbox.moe/c/lytnjf,16,1923,253.62,2017-01-01,n,female
Get Out,https://files.catbox.moe/hswqaf.webm,AOA,https://catbox.moe/c/lytnjf,16,4889,224.22,2012-10-09,n,female
Good Luck,https://files.catbox.moe/jdzkal.webm,AOA,https://catbox.moe/c/lytnjf,16,1617,240.48,2016-05-15,n,female
Heart Attack,https://files.catbox.moe/70sp5p.webm,AOA,https://catbox.moe/c/lytnjf,16,831,306.42,2015-06-21,n,female
Like a Cat,https://files.catbox.moe/m3q2a6.webm,AOA,https://catbox.moe/c/lytnjf,16,488,326.6,2014-11-10,n,female
Miniskirt,https://files.catbox.moe/l90nfb.webm,AOA,https://catbox.moe/c/lytnjf,16,487,221.24,2014-01-15,n,female
Short Hair,https://files.catbox.moe/r9hvmx.webm,AOA,https://catbox.moe/c/lytnjf,16,489,280.94,2014-06-18,n,female
I'm Jelly Baby,https://files.catbox.moe/1bmkch.webm,AOA CREAM,https://catbox.moe/c/2g9dqu,17,4885,278.18,2016-02-11,n,female
Alright,https://files.catbox.moe/r7r2g2.webm,Apink,https://catbox.moe/c/o24kvh,18,8990,211.94,2018-07-11,n,female
Always,https://files.catbox.moe/j9fnxt.webm,Apink,https://catbox.moe/c/o24kvh,18,2073,191.8,2017-04-18,n,female
Bye Bye,https://files.catbox.moe/tddsri.webm,Apink,https://catbox.moe/c/o24kvh,18,1971,191.52,2017-03-21,n,female
Cause you're my Star,https://files.catbox.moe/e4ja35.webm,Apink,https://catbox.moe/c/o24kvh,18,9794,197.02,2016-12-14,n,female
Crystal,https://files.catbox.moe/loccfi.webm,Apink,https://catbox.moe/c/o24kvh,18,9800,204.1,2014-06-16,n,female
Dilemma,https://files.catbox.moe/fpamu9.webm,Apink,https://catbox.moe/c/o24kvh,18,18896,217.07999999999998,2022-02-14,n,female
Don't Make Me Laugh (Hayoung),https://files.catbox.moe/xwnd1i.webm,Apink,https://catbox.moe/c/o24kvh,18,9811,180.78,2019-08-21,n,female
Dumhdurum,https://files.catbox.moe/8bcks0.webm,Apink,https://catbox.moe/c/o24kvh,18,6034,220.92000000000002,2020-04-13,n,female
Eung Eung,https://files.catbox.moe/x4z8gh.webm,Apink,https://catbox.moe/c/o24kvh,18,3887,236.3,2019-01-07,n,female
Everybody Ready#,https://files.catbox.moe/avels6.webm,Apink,https://catbox.moe/c/o24kvh,18,4168,203.36,2019-04-19,n,female
FIVE,https://files.catbox.moe/qppkzn.webm,Apink,https://catbox.moe/c/o24kvh,18,9791,195.12,2017-06-26,n,female
Good Morning Baby,https://files.catbox.moe/jvhzpn.webm,Apink,https://catbox.moe/c/o24kvh,18,1250,226.14,2014-01-12,n,female
Hush,https://files.catbox.moe/c3hbj9.webm,Apink,https://catbox.moe/c/o24kvh,18,8328,209.62,2012-05-09,n,female
I Don't Know,https://files.catbox.moe/tcau0i.webm,Apink,https://catbox.moe/c/o24kvh,18,674,232.62,2011-04-18,n,female
I'm so sick,https://files.catbox.moe/k8dy9x.mkv,Apink,https://catbox.moe/c/o24kvh,18,2664,216.04,2018-07-02,n,female
