id,id_parent,nome,vtype,vlink,id_artist,publishedon,views,likes,dislikes,lastupdate,recentviews,recentlikes,promoted,dead,promotedviews
5092,0,"9 and 3 quarters (dance only)",dance,jqHslIR2x7w,465,2019-10-27,7089413,397798,1499,"2020-06-21 06:56:30",11092,358,n,n,0
5093,0,Spark,main,eP4ga_fNm-E,200,2019-10-28,24395764,703924,8085,"2020-06-21 04:24:02",26640,251,n,n,0
5094,NULL,"Wonder Woman",main,5q3RoDYObOA,37,2019-10-28,3565958,124322,2209,"2020-06-21 12:00:30",1653,15,n,n,0
5095,0,Follow,main,aa7hl8A0tAY,143,2019-10-28,26371034,716402,5711,"2020-06-21 01:39:01",51626,941,n,n,5000000
5096,NULL,Abandoned,main,u-M3mTEVyxU,37,2019-10-28,292331,14533,74,"2020-06-19 13:40:30",170,2,n,n,0
5097,5095,Follow,duplicate,2hBsiQ449Aw,143,2019-10-28,1748433,103960,682,"2020-06-21 14:01:01",1165,53,n,n,0
5098,5094,"Wonder Woman",duplicate,-ZvOzBOv1nc,37,2019-10-28,1129021,46806,716,"2020-06-21 14:52:02",840,17,n,n,0
5100,NULL,Savage,main,j2MyB1MjumM,332,2019-10-29,10847432,394209,1613,"2020-06-21 04:16:02",26016,587,n,n,0
5101,5096,Abandoned,alternate,tuzMVVRLn2Y,37,2019-10-29,135557,6611,27,"2020-06-19 13:39:02",69,2,n,n,0
5102,0,Chanel,main,m8Zsdmunrzs,534,2019-10-29,1026765,17450,1955,"2020-06-21 22:13:02",821,3,n,n,0
5103,NULL,"마음에 그리다",main,zkLUiYlQSEA,220,2019-10-29,173106,7364,7,"2020-06-19 13:40:02",175,2,n,n,0
5104,5042,"Set me free",dance,s7RNGyxZUyM,126,2019-10-29,25688,3614,10,"2020-06-19 13:38:02",158,17,n,n,0
5105,129,"Run Devil Run",alternate,Us4cHzPlEU4,78,2011-07-06,1734063,15353,0,"2018-12-18 23:59:46",0,0,n,y,0
5106,127,"Chocolate Love",duplicate,ArYr3ItLpso,78,2011-07-08,4176840,27034,0,"2018-12-19 00:08:41",0,0,n,y,0
5107,128,Oh!,alternate,WsOjN06sSc0,78,2011-07-06,1054277,11475,0,"2018-12-18 23:56:20",0,0,n,y,0
